Cabin,Ticket,SibSp,Parch,Survived,number
,A/5 21171,1,0,0,1
C85,PC 17599,1,0,1,1
,STON/O2. 3101282,0,0,1,0
C123,113803,1,0,1,1
,373450,0,0,0,0
,330877,0,0,0,0
E46,17463,0,0,0,0
,349909,3,1,0,4
,347742,0,2,1,2
,237736,1,0,1,1
G6,PP 9549,1,1,1,2
C103,113783,0,0,1,0
,A/5. 2151,0,0,0,0
,347082,1,5,0,6
,350406,0,0,0,0
,248706,0,0,1,0
,382652,4,1,0,5
,244373,0,0,1,0
,345763,1,0,0,1
,2649,0,0,1,0
,239865,0,0,0,0
D56,248698,0,0,1,0
,330923,0,0,1,0
A6,113788,0,0,1,0
,349909,3,1,0,4
,347077,1,5,1,6
,2631,0,0,0,0
C23 C25 C27,19950,3,2,0,5
,330959,0,0,1,0
,349216,0,0,0,0
,PC 17601,0,0,0,0
B78,PC 17569,1,0,1,1
,335677,0,0,1,0
,C.A. 24579,0,0,0,0
,PC 17604,1,0,0,1
,113789,1,0,0,1
,2677,0,0,1,0
,A./5. 2152,0,0,0,0
,345764,2,0,0,2
,2651,1,0,1,1
,7546,1,0,0,1
,11668,1,0,0,1
,349253,0,0,0,0
,SC/Paris 2123,1,2,1,3
,330958,0,0,1,0
,S.C./A.4. 23567,0,0,0,0
,370371,1,0,0,1
,14311,0,0,1,0
,2662,2,0,0,2
,349237,1,0,0,1
,3101295,4,1,0,5
,A/4. 39886,0,0,0,0
D33,PC 17572,1,0,1,1
,2926,1,0,1,1
B30,113509,0,1,0,1
C52,19947,0,0,1,0
,C.A. 31026,0,0,1,0
,2697,0,0,0,0
,C.A. 34651,1,2,1,3
,CA 2144,5,2,0,7
,2669,0,0,0,0
B28,113572,0,0,1,0
C83,36973,1,0,0,1
,347088,3,2,0,5
,PC 17605,0,0,0,0
,2661,1,1,1,2
F33,C.A. 29395,0,0,1,0
,S.P. 3464,0,0,0,0
,3101281,4,2,1,6
,315151,2,0,0,2
,C.A. 33111,0,0,0,0
,CA 2144,5,2,0,7
,S.O.C. 14879,0,0,0,0
,2680,1,0,0,1
,1601,0,0,1,0
F G73,348123,0,0,0,0
,349208,0,0,0,0
,374746,0,0,0,0
,248738,0,2,1,2
,364516,0,0,1,0
,345767,0,0,0,0
,345779,0,0,1,0
,330932,0,0,1,0
,113059,0,0,0,0
,SO/C 14885,0,0,1,0
,3101278,3,0,1,3
,W./C. 6608,1,3,0,4
,SOTON/OQ 392086,0,0,0,0
C23 C25 C27,19950,3,2,1,5
,343275,0,0,0,0
,343276,0,0,0,0
,347466,0,0,0,0
E31,W.E.P. 5734,1,0,0,1
,C.A. 2315,1,2,0,3
,364500,0,0,0,0
,374910,0,0,0,0
A5,PC 17754,0,0,0,0
D10 D12,PC 17759,0,1,1,1
,231919,0,1,1,1
,244367,1,0,0,1
,349245,0,0,0,0
,349215,0,0,0,0
D26,35281,0,1,0,1
,7540,0,0,0,0
,3101276,2,0,0,2
,349207,0,0,0,0
,343120,0,0,1,0
,312991,0,0,1,0
,349249,0,0,0,0
,371110,1,0,1,1
C110,110465,0,0,0,0
,2665,1,0,0,1
,324669,0,0,0,0
,4136,1,0,0,1
,2627,0,0,0,0
,STON/O 2. 3101294,0,0,0,0
,370369,0,0,0,0
,11668,1,0,0,1
B58 B60,PC 17558,0,1,0,1
,347082,4,2,0,6
,S.O.C. 14879,2,0,0,2
,A4. 54510,0,0,0,0
,237736,1,0,0,1
E101,27267,0,0,1,0
D26,35281,0,1,0,1
,2651,1,0,1,1
,370372,0,0,0,0
,C 17369,0,0,1,0
F E69,2668,1,1,1,2
,347061,0,0,0,0
,349241,0,0,0,0
,SOTON/O.Q. 3101307,0,0,0,0
,A/5. 3337,1,0,0,1
,228414,1,0,1,1
,C.A. 29178,0,0,0,0
,SC/PARIS 2133,0,0,0,0
D47,11752,0,2,1,2
C123,113803,1,0,0,1
,7534,0,0,0,0
B86,PC 17593,0,0,0,0
,2678,0,2,0,2
,347081,0,0,1,0
,STON/O2. 3101279,1,0,1,1
,365222,0,0,0,0
,231945,0,0,0,0
,C.A. 33112,1,1,0,2
,350043,0,0,1,0
,W./C. 6608,2,2,0,4
F2,230080,0,2,0,2
,244310,0,0,0,0
,S.O.P. 1166,0,0,0,0
C2,113776,1,0,1,1
,A.5. 11206,0,0,0,0
,A/5. 851,0,2,0,2
,Fa 265302,0,0,0,0
,PC 17597,0,1,0,1
,35851,0,0,1,0
,SOTON/OQ 392090,0,0,0,0
,315037,0,0,0,0
,CA. 2343,8,2,0,10
,371362,0,1,0,1
,C.A. 33595,0,0,1,0
,347068,0,0,0,0
,315093,0,0,0,0
,3101295,4,1,0,5
,363291,0,2,1,2
E33,113505,0,1,1,1
,347088,1,4,0,5
,PC 17318,0,0,0,0
,1601,0,0,0,0
B19,111240,0,0,0,0
,382652,4,1,0,5
,347742,1,1,1,2
,STON/O 2. 3101280,0,0,0,0
A7,17764,0,0,0,0
,350404,1,1,0,2
,4133,3,1,0,4
C49,PC 17595,0,0,0,0
,250653,0,0,0,0
,LINE,0,0,0,0
,CA. 2343,8,2,0,10
,SC/PARIS 2131,0,0,0,0
,347077,4,2,0,6
F4,230136,2,1,1,3
,315153,0,2,1,2
A32,113767,0,0,0,0
,370365,1,0,1,1
,111428,0,0,1,0
,364849,1,1,0,2
,349247,0,0,0,0
,234604,0,0,1,0
,28424,0,0,0,0
,350046,1,0,1,1
F2,230080,1,1,1,2
B4,PC 17610,0,0,1,0
B80,PC 17569,0,0,1,0
,368703,0,0,0,0
,4579,0,1,0,1
,370370,0,0,1,0
,248747,0,0,0,0
,345770,0,0,0,0
,CA. 2343,8,2,0,10
,3101264,0,0,0,0
,2628,0,0,0,0
,A/5 3540,0,0,1,0
G6,347054,0,1,0,1
,3101278,1,0,0,1
,2699,0,0,1,0
,367231,0,0,1,0
A31,112277,0,0,1,0
,SOTON/O.Q. 3101311,0,0,0,0
,F.C.C. 13528,0,0,1,0
,A/5 21174,0,0,0,0
,250646,0,0,0,0
,367229,1,0,0,1
D36,35273,1,0,1,1
,STON/O2. 3101283,0,0,1,0
,243847,1,0,0,1
D15,11813,0,0,1,0
,W/C 14208,0,0,0,0
,SOTON/OQ 392089,0,0,1,0
,220367,0,0,0,0
,21440,0,0,0,0
,349234,0,0,0,0
C93,19943,1,0,1,1
,PP 4348,0,0,0,0
,SW/PP 751,0,0,1,0
,A/5 21173,0,0,0,0
,236171,0,0,0,0
,4133,3,1,0,4
C83,36973,1,0,1,1
,347067,0,0,0,0
,237442,0,0,0,0
,347077,4,2,1,6
,C.A. 29566,0,0,0,0
,W./C. 6609,0,0,0,0
,26707,1,0,0,1
,C.A. 31921,0,2,1,2
,28665,0,0,0,0
,SCO/W 1585,0,0,0,0
,2665,1,0,0,1
,367230,1,0,1,1
,W./C. 14263,0,0,0,0
,STON/O 2. 3101275,0,0,0,0
,2694,0,0,0,0
C78,19928,2,0,0,2
,347071,0,0,0,0
,250649,0,2,1,2
D35,11751,1,1,1,2
,244252,1,0,0,1
,362316,0,0,0,0
G6,347054,1,1,0,2
C87,113514,0,0,0,0
,A/5. 3336,1,0,0,1
,370129,0,2,0,2
,2650,0,2,1,2
,PC 17585,0,0,1,0
B77,110152,0,0,1,0
,PC 17755,0,0,1,0
,230433,0,1,1,1
,384461,0,0,0,0
,347077,4,2,1,6
E67,110413,1,1,0,2
B94,112059,0,0,0,0
,382649,0,0,0,0
,C.A. 17248,0,0,0,0
,3101295,4,1,0,5
,347083,1,0,1,1
C125,PC 17582,0,1,1,1
C99,PC 17760,0,0,1,0
,113798,0,0,0,0
,LINE,0,0,1,0
,250644,0,1,1,1
C118,PC 17596,0,1,0,1
,370375,0,0,1,0
D7,13502,1,0,1,1
,347073,0,0,0,0
,239853,0,0,0,0
,382652,4,1,0,5
,C.A. 2673,1,1,1,2
,336439,0,0,0,0
,347464,0,0,0,0
,345778,0,0,0,0
,A/5. 10482,0,0,1,0
A19,113056,0,0,0,0
,349239,0,0,0,0
,345774,0,0,1,0
,349206,0,0,0,0
,237798,0,0,1,0
,370373,0,0,1,0
,19877,0,0,1,0
B49,11967,1,0,1,1
D,SC/Paris 2163,0,0,0,0
,349236,0,0,0,0
,349233,0,0,0,0
,PC 17612,0,0,0,0
,2693,0,0,0,0
C22 C26,113781,1,2,0,3
C106,19988,0,0,1,0
B58 B60,PC 17558,0,1,1,1
,9234,0,0,1,0
,367226,2,0,1,2
,LINE,0,0,0,0
E101,226593,0,0,1,0
,A/5 2466,0,0,0,0
C22 C26,113781,1,2,1,3
,17421,0,0,1,0
C65,PC 17758,1,0,1,1
,P/PP 3381,1,0,0,1
E36,PC 17485,0,0,1,0
C54,11767,0,0,1,0
B57 B59 B63 B66,PC 17608,2,2,1,4
,250651,1,1,0,2
,349243,0,0,0,0
,F.C.C. 13529,1,1,0,2
,347470,0,0,1,0
,244367,1,0,1,1
,29011,0,0,0,0
C7,36928,0,2,1,2
E34,16966,1,1,1,2
,A/5 21172,0,0,0,0
,349219,0,0,0,0
,234818,0,0,1,0
,248738,1,1,1,2
,CA. 2343,8,2,0,10
C32,PC 17760,0,0,1,0
,345364,0,0,0,0
D,28551,0,0,1,0
,363291,1,1,1,2
B18,111361,0,1,1,1
,367226,2,0,1,2
C124,113043,0,0,0,0
C91,PC 17582,0,1,0,1
,345764,2,0,0,2
,PC 17611,1,0,1,1
,349225,0,0,0,0
C2,113776,1,0,0,1
E40,16966,0,0,1,0
,7598,0,0,1,0
T,113784,0,0,0,0
F2,230080,1,1,1,2
C23 C25 C27,19950,3,2,1,5
,248740,0,0,0,0
,244361,0,0,0,0
,229236,0,0,0,0
F33,248733,0,0,1,0
,31418,0,0,1,0
,386525,1,0,1,1
,C.A. 37671,1,1,1,2
,315088,0,0,0,0
,7267,0,0,0,0
C128,113510,0,0,0,0
,2695,1,1,0,2
,349237,1,0,0,1
,2647,0,0,0,0
,345783,0,0,0,0
E33,113505,0,1,1,1
,237671,0,0,0,0
,330931,0,0,1,0
,330980,0,0,1,0
,347088,1,4,0,5
,SC/PARIS 2167,1,0,0,1
,2691,0,1,0,1
,SOTON/O.Q. 3101310,0,0,0,0
,370365,1,0,0,1
,C 7076,0,0,0,0
D37,110813,1,0,1,1
,2626,0,0,1,0
,14313,0,0,1,0
B35,PC 17477,0,0,1,0
E50,11765,1,0,1,1
,3101267,1,0,0,1
,323951,0,0,0,0
,PC 17760,0,0,0,0
,349909,3,1,0,4
,PC 17604,1,0,1,1
,C 7077,0,0,1,0
C82,113503,0,2,0,2
,2648,0,0,0,0
,347069,0,0,0,0
,PC 17757,0,0,1,0
,2653,0,2,1,2
,STON/O 2. 3101293,0,0,0,0
,113789,1,0,1,1
,349227,0,0,0,0
,S.O.C. 14879,0,0,0,0
,CA 2144,5,2,0,7
,27849,0,0,1,0
,367655,0,0,0,0
,SC 1748,0,0,1,0
B96 B98,113760,1,2,1,3
,350034,0,0,1,0
,3101277,2,0,0,2
D36,35273,1,0,1,1
G6,PP 9549,0,2,1,2
,350052,0,0,0,0
